delivery_date,delivery_shift,origin_name,origin_raw_line_1,origin_city,origin_state,origin_zip,origin_country,client name,destination_raw_line_1,destination_city,destination_state,destination_zip,destination_country,phone_number,mode,purchase_order_number,volume,handling_unit_quantity,handling_unit_type
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Helga Walker,1976 CULPEPPER LANE,FAYETTEVILLE,NC,28304,US,362.489.5193 x0288,TRUCKLOAD,500400945,42.21,6,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Chandler Marvin,3405 CASTLEFIELD LANE,FAYETTEVILLE,NC,28306,US,(975)969-6094 x0040,TRUCKLOAD,500402400,218.5,4,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Ezekiel Powlowski MD,1805 1 SARDONYX ROAD,FAYETTEVILLE,NC,28303,US,897-523-9428,TRUCKLOAD,500402340,150.91,2,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Jordan Feeney,912 TAMARACK DR APT 11115,FAYETTEVILLE,NC,28311,US,240.701.5669 x26792,TRUCKLOAD,500401570,75.65,5,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Jordan Feeney,912 TAMARACK DR APT 11115,FAYETTEVILLE,NC,28311,US,240.701.5669 x26792,TRUCKLOAD,500403620,0,0,box
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Ruben Dibbert,799 MAGELLAN DRIVE,FAYETTEVILLE,NC,28311,US,1-643-004-9797 x307,TRUCKLOAD,500399725,170.73,5,box
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Erich Klein,3429 GABLES DRIVE,FAYETTEVILLE,NC,28311,US,(665)001-3965 x0901,TRUCKLOAD,500395000,132,3,box
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Delia Boyle,3000 COOLEE CIRCLE,FAYETTEVILLE,NC,28311,US,685.190.4219 x8392,TRUCKLOAD,500399165,174.57,4,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Germaine Purdy DVM,1040 WILD PINE DRIVE,FAYETTEVILLE,NC,28312,US,400-054-8582,TRUCKLOAD,500384925,32.5,2,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Mohamed O'Kon V,"2730 CREEK MEADOW PL, APT 142",FAYETTEVILLE,NC,28304,US,(809)674-4024 x042,TRUCKLOAD,500396430,123,2,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Neoma Beahan,"6319 RAEFORD ROAD, APT 46",FAYETTEVILLE,NC,28304,US,992.833.6668 x0930,TRUCKLOAD,500399375,258.85,13,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Cameron Bayer III,3551 DORADO CIRCLE APT 106,FAYETTEVILLE,NC,28304,US,972-259-2754 x508,TRUCKLOAD,500393940,35.94,2,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Dr. Hettie Conroy,1057 GLEN REILLY DRIVE,FAYETTEVILLE,NC,28314,US,1-404-888-3360,TRUCKLOAD,500393645,15.53,1,box
9/15/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Mr. Myles Bartoletti,"7112 RYAN STREET, LOCH LOMOND SUB",FAYETTEVILLE,NC,28314,US,(847)142-9446,TRUCKLOAD,307373285,4.5,1,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Kaitlyn Bechtelar,5075 MORGANTON RD,FAYETTEVILLE,NC,28314,US,1-895-848-9716,TRUCKLOAD,500401660,45.66,3,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Orlo Altenwerth,5075 MORGANTON ROAD,FAYETTEVILLE,NC,28314,US,582-859-0777 x362,TRUCKLOAD,188137530,6.98,2,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Orlo Altenwerth,5075 MORGANTON ROAD,FAYETTEVILLE,NC,28314,US,582-859-0777 x362,TRUCKLOAD,584008760,194.86,8,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Orlo Altenwerth,5075 MORGANTON ROAD,FAYETTEVILLE,NC,28314,US,582-859-0777 x362,TRUCKLOAD,584009090,269.93,10,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Miss Myrna Cormier,358 LYNHURST DRIVE,FAYETTEVILLE,NC,28314,US,(272)571-2628 x68966,TRUCKLOAD,500399300,69.94,5,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Theron McDermott DVM,201 WATERDOWN DRIVE APT 8,FAYETTEVILLE,NC,28314,US,1-928-026-5855 x5825,TRUCKLOAD,500390005,27.2,8,box
9/15/2014,E,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Dr. Lela Little,"351 Sawtooth Dr, Apt 4",FAYETTEVILLE,NC,28314,US,826-158-5054 x20963,TRUCKLOAD,591121735,77.3,2,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Andrew Reilly,627 GARFIELD DRIVE,FAYETTEVILLE,NC,28303,US,(505)748-1350,TRUCKLOAD,500402270,31.96,1,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Annie Kuhn,405 BERNSTEIN STREET,FORT BRAGG,NC,28307,US,1-285-249-3697 x54971,TRUCKLOAD,500403030,118.7,9,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Angelina Bogan,716 HERMAN PLACE,FORT BRAGG,NC,28307,US,(206)159-6613 x286,TRUCKLOAD,500397355,22.94,4,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Rey Gibson,100  C PINECREST CIR,SPRING LAKE,NC,28390,US,171.588.4901 x020,TRUCKLOAD,500398880,53.97,3,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Linda Funk,320 ORCHARD FALLS DR,SPRING LAKE,NC,28390,US,(372)359-1779,TRUCKLOAD,500402570,45,3,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Dion Armstrong I,21 MAYFLOWER COURT,CAMERON,NC,28326,US,1-472-809-1775 x7143,TRUCKLOAD,500394170,8.2,1,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Amara Bergnaum,67 WHITE OAK CIR,SANFORD,NC,27332,US,629.749.4962 x87240,TRUCKLOAD,500397080,15.53,1,box
9/15/2014,E,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Frederic Moen,338 DICKS HILL ROAD,CARTHAGE,NC,28327,US,(243)965-1317,TRUCKLOAD,500392015,87.82,6,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Kathryne Kuphal,6653 HILLBROOK ROAD,HOPE MILLS,NC,28348,US,1-403-432-3903 x060,TRUCKLOAD,500400760,22.62,2,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Shayne Dooley,"561 GRAND WAILEA DRIVE, APT 518",HOPE MILLS,NC,28348,US,(372)327-5842,TRUCKLOAD,500400100,56.41,4,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603ghjvhkvhlvh,US,Shayne Dooley,"561 GRAND WAILER DRIVE, APT 518",HOPE MILLS,NC,28348,US,(372)327-5842,TRUCKLOAD,500400090,75.6,2,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Benjamin Waelchi,3935 HUNTING PATH DRIVE,HOPE MILLS,NC,28348,US,1-204-475-6016 x61918,TRUCKLOAD,500397235,53.3,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Grover Gutkowski,3026 TOTLEY DR,FAYETTEVILLE,NC,28306,US,1-904-212-7087 x4974,TRUCKLOAD,500398340,137.32,9,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Mr. Vincenzo Ortiz,2551 SILVER BELL LOOP,FAYETTEVILLE,NC,28304,US,(936)977-2566 x5225,TRUCKLOAD,500402730,98,2,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Wilmer Satterfield II,2020 WOOD DUCK DRIVE,FAYETTEVILLE,NC,28304,US,1-549-112-4505 x24203,TRUCKLOAD,591121980,4.12,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Keara Moore,5995 LAKEPORT CIR,FAYETTEVILLE,NC,28304,US,890.387.9106,TRUCKLOAD,500399860,46.58,2,box
9/16/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Dameon Braun,5013 YORKCHESTER DRIVE,FAYETTEVILLE,NC,28314,US,(766)040-3041,TRUCKLOAD,500402240,4.06,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Dameon Braun,5013 YORKCHESTER DRIVE,FAYETTEVILLE,NC,28314,US,(766)040-3041,TRUCKLOAD,500403075,0,0,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Ms. Ashley Stokes,1853 ELLIE AVENUE,FAYETTEVILLE,NC,28314,US,1-134-429-1889 x611,TRUCKLOAD,500396730,28.42,6,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Glen Christiansen I,7228 CLEAR SPRING DRIVE,FAYETTEVILLE,NC,28314,US,(965)072-8488 x36571,TRUCKLOAD,500398850,17.04,4,box
9/16/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Ewald Lehner,1316 SHOSHONE DRIVE PLACE,FAYETTEVILLE,NC,28314,US,830.110.7519 x45841,TRUCKLOAD,500402120,1509.46,50,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Einar Hayes,1309 KERSHAW 100 P APT 222,FAYETTEVILLE,NC,28314,US,(376)692-2485 x379,TRUCKLOAD,500400770,62.19,6,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Miss Antonina Klocko,"3441 DORADO CIRCLE, UNIT 306",FAYETTEVILLE,NC,28304,US,(308)196-2507,TRUCKLOAD,500396110,72,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Dr. Ressie Heathcote,173 NANDINA COURT,FAYETTEVILLE,NC,28311,US,824.352.5233 x434,TRUCKLOAD,500398985,11,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Miss Coty Bechtelar,1013 BUCKNELL RD,FAYETTEVILLE,NC,28311,US,827-749-5152,TRUCKLOAD,500402280,61.2,2,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Giovanny Doyle,236 SILVER OAKS DRIVE,FAYETTEVILLE,NC,28311,US,1-865-534-3865 x148,TRUCKLOAD,500398300,232.67,13,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Griffin Schultz,"1390 REGATTA STREET, APT 313",FAYETTEVILLE,NC,28301,US,232.375.7960 x9533,TRUCKLOAD,500402690,124.17,8,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,German Koelpin,205 STAR HILL AVE,FAYETTEVILLE,NC,28303,US,465-463-4350,TRUCKLOAD,500404190,23.92,2,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,German Koelpin,205 STAR HILL AVE,FAYETTEVILLE,NC,28303,US,465-463-4350,TRUCKLOAD,500404370,4.6,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,German Koelpin,205 STAR HILL AVE,FAYETTEVILLE,NC,28303,US,465-463-4350,TRUCKLOAD,500404720,0,0,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,German Koelpin,205 STAR HILL AVE,FAYETTEVILLE,NC,28303,US,465-463-4350,TRUCKLOAD,500404730,0,0,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Abbey Kiehn,905 MILLER ST,FAYETTEVILLE,NC,28304,US,636.386.5708,TRUCKLOAD,500402450,201.1,13,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Ines Nader,7201 TORTOLA DRIVE,FAYETTEVILLE,NC,28306,US,604-889-7503,TRUCKLOAD,500400070,13.34,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Carlotta Grant,191 WOLFBRIDGE DR,RAEFORD,NC,28376,US,(354)963-4320 x89363,TRUCKLOAD,500398240,19.18,6,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Esteban O'Connell,164 AUTUMN LANE,RAEFORD,NC,28376,US,767-616-3976,TRUCKLOAD,591121960,7.9,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Bryon Feeney III,740 SUN ROAD,ABERDEEN,NC,28315,US,(205)765-8360 x854,TRUCKLOAD,500392465,123.99,7,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Pete Roob DVM,88 CHASE STREET,CAMERON,NC,28326,US,574-989-1684 x1290,TRUCKLOAD,500393855,23.23,3,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Augusta Wiegand,45 AGODN LANDING,CAMERON,NC,28326,US,(822)825-5809 x759,TRUCKLOAD,500401800,88.21,6,box
9/16/2014,E,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Karlee Bashirian DVM,645 ANDERSON CREEK DRIVE,SPRING LAKE,NC,28390,US,1-561-657-1804 x78368,TRUCKLOAD,500391430,52.85,9,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Rocky Davis,26 DOUVE PLACE,FORT BRAGG,NC,28307,US,146.020.1808 x61600,TRUCKLOAD,500366745,123.56,7,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Monroe Padberg,179 LEHAM STREET,FORT BRAGG,NC,28307,US,(550)052-8500 x4157,TRUCKLOAD,500403130,15.85,1,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Nadia Jakubowski,"1411 CANYON LAND COURT, APT 192",FAYETTEVILLE,NC,28303,US,(987)698-4008 x043,TRUCKLOAD,500400840,120,2,box
9/16/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Jordan Feeney,912 TAMARACK DR APT 11115,FAYETTEVILLE,NC,28311,US,240.701.5669 x26792,TRUCKLOAD,500403635,0,0,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Rosalinda Nader,2330 CHASEWATER ROAD,FAYETTEVILLE,NC,28306,US,950.183.0511 x175,TRUCKLOAD,500402500,131.29,10,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Idella Lynch,2330 CHASEWATER ROAD,FAYETTEVILLE,NC,28306,US,(938)889-5475,TRUCKLOAD,500402490,80,4,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Stephania Dietrich,728 BENT CREK DRIVE,HOPE MILLS,NC,28348,US,1-250-615-3875 x1092,TRUCKLOAD,500397615,15.4,2,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Kaitlyn Bechtelar,1485 Modest Road,Maxton,NC,28364,US,1-895-848-9716,TRUCKLOAD,500401675,45.66,3,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Annabelle Williamson,804 WEST SCOTTSDALE RD,LAURINBURG,NC,28352,US,816.141.3682 x2837,TRUCKLOAD,500400850,60.52,5,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Roxanne Quitzon,1101 SOUTH AUSTIN ST,MAXTON,NC,28364,US,135.386.6870,TRUCKLOAD,500401590,130,2,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Maryse Muller,4823 PINEDALE BLVD,LUMBERTON,NC,28358,US,669.308.5977 x113,TRUCKLOAD,500391625,40.28,4,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Nico Yundt,1508 SPRUNT AVE,LUMBERTON,NC,28358,US,225.215.1026,TRUCKLOAD,500389705,1.77,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Lauryn Torp,1190 REGAN CHURCH RD,LUMBERTON,NC,28358,US,264-702-6794,TRUCKLOAD,500396590,15.15,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Lonnie Purdy,1358 SHAWN ROAD,LUMBERTON,NC,28358,US,978.674.2239 x1609,TRUCKLOAD,500403360,29.4,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Lonnie Purdy,1358 SHAWN ROAD,LUMBERTON,NC,28358,US,978.674.2239 x1609,TRUCKLOAD,500404760,0,0,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Miss Zetta Mann,1025 GLEN REILLY DR,FAYETTEVILLE,NC,28314,US,(379)533-2693,TRUCKLOAD,500394325,72.73,8,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Miss Zetta Mann,1025 GLEN REILLY DR,FAYETTEVILLE,NC,28314,US,(379)533-2693,TRUCKLOAD,500403330,18.8,2,box
9/17/2014,E,Dr. Hettie Conroy,1057 GLEN REILLY DRIVE,FAYETTEVILLE,NC,28314,US,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,1-404-888-3360,TRUCKLOAD,500393641,15.53,1,box
9/17/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Dr. Hettie Conroy,1057 GLEN REILLY DRIVE,FAYETTEVILLE,NC,28314,US,1-404-888-3360,TRUCKLOAD,500404800,0,0,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Jalyn Gorczany,615 DAHARAN DRIVE,FAYETTEVILLE,NC,28314,US,999-831-4799 x62107,TRUCKLOAD,500395630,196.36,5,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Sonny King,5702 CALUMET CT,ABERDEEN,NC,28315,US,1-295-656-7026 x69946,TRUCKLOAD,500399045,15.78,6,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Margaretta Johnson,210 BROADMEADE DR,SOUTHERN PINES,NC,28387,US,231-904-2618 x16162,TRUCKLOAD,500402460,177.74,9,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Margaretta Johnson,210 BROADMEADE DR,SOUTHERN PINES,NC,28387,US,231-904-2618 x16162,TRUCKLOAD,500403880,400,2,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Viviane O'Conner,1006 WILDER AVE,ABERDEEN,NC,28315,US,(987)599-2123,TRUCKLOAD,500402420,15.33,6,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Grayce Bailey,4 CONE COURT,PINEHURST,NC,28374,US,854.754.9714 x933,TRUCKLOAD,500403430,681,5,box
9/17/2014,N,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Theresia Barton,149 WESTGATE DRIVE,WEST END,NC,27376,US,1-185-127-3486 x85848,TRUCKLOAD,500398195,29.58,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Kevon Koelpin,14 BENT TREE COURT,PINEHURST,NC,28374,US,(615)170-9654 x410,TRUCKLOAD,500402440,29.8,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Willie Gusikowski,237 ROTHBURY DRIVE,CARTHAGE,NC,28327,US,(169)690-6917 x89706,TRUCKLOAD,591121800,150,2,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Lurline Bashirian,116 HOLLOW LANE,RAEFORD,NC,28376,US,(174)165-2381 x3276,TRUCKLOAD,500403835,25,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Emiliano Cremin,2505 SICKLE WAY,FAYETTEVILLE,NC,28306,US,268-836-3378 x5868,TRUCKLOAD,500399255,13.34,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Augustus Farrell,5900 WHITEBRIDGE LN,FAYETTEVILLE,NC,28306,US,1-447-016-9364,TRUCKLOAD,500399425,224.4,4,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Arely Altenwerth,"1849 TRYON DR, APT 2",FAYETTEVILLE,NC,28303,US,1-976-381-4299 x66220,TRUCKLOAD,500403810,80.82,6,box
9/17/2014,E,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Lavinia Kutch,1210 STANSFIELD DRIVE,FAYETTEVILLE,NC,28303,US,179-557-5611 x065,TRUCKLOAD,500400395,103.62,8,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Jeremy Jast,"2109 ELVIRA ST, APT 905",FAYETTEVILLE,NC,28303,US,842-539-3393 x8754,TRUCKLOAD,500403230,36.23,3,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Rylan Kunde,"4615 DUNCASTLE ROAD, APT 2H",FAYETTEVILLE,NC,28314,US,1-311-077-1050,TRUCKLOAD,500402250,48.2,2,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Keith Rosenbaum,"220 SAWTOOTH DRIVE, APT 15",FAYETTEVILLE,NC,28314,US,1-313-994-4843 x67541,TRUCKLOAD,500403160,212.89,8,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Lola Sauer,828 RUMFORD PL,FAYETTEVILLE,NC,28303,US,1-327-012-2503,TRUCKLOAD,500393685,51.14,3,box
9/17/2014,E,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Kenyatta Lowe,4 GROESBEEK STREET,FORT BRAGG,NC,28307,US,158.756.1376 x1327,TRUCKLOAD,500395750,114,2,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Dianna Fisher,2905 HAMPTON RIDGE ROAD,FAYETTEVILLE,NC,28311,US,(548)715-5736,TRUCKLOAD,500400225,4.38,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Juliana Ruecker,400 SWAN ISLAND,FAYETTEVILLE,NC,28311,US,1-489-900-6527 x54496,TRUCKLOAD,500396515,17.49,3,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Jazmin Schoen,7011 ZEPHER RD,FAYETTEVILLE,NC,28311,US,149.925.6926 x97568,TRUCKLOAD,500402610,60.6,5,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Jovanny Cruickshank,856 SATINWOOD COURT,FAYETTEVILLE,NC,28312,US,(341)288-8527 x31161,TRUCKLOAD,500398855,36.2,1,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Johnson Hegmann IV,7006 BYERLY DRIVE,HOPE MILLS,NC,28348,US,453-242-7657,TRUCKLOAD,500401620,50.73,7,box
9/17/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Kennith Davis V,2008 HARRINGTON ROAD,FAYETTEVILLE,NC,28306,US,218-249-2010 x2520,TRUCKLOAD,500403100,176.25,12,box
